Sampling points GITHUB	Sampling points	Field 	Farmer	Year	nb. of flowers observed/transect	nb. of flowers produced/hectare	Nitrogen	Overall land productivity (kg_ha-1)	Productivity per flower (g)	Distance from native vegetation (m)	Vegetation cover (0.5km)	Vegetation cover (1km)	Vegetation cover (1.5km)	Vegetation cover (2km)	richness	abund.exot.pol (Apis mellifera)	abund.nat.pol.	abund.bio.control	pest (binomial data)	Mamangava	Paratrigona lineata	Trigona spineps	Bombus (fervidobombus) morio	Bombus brevivillus	Xylocopa (Stenoxylocopa) sp.	Geotrigona sp.	Exomalopsis analis	Oxaea flavescens	Apoidea sp1	non identified bees (NOT USED FOR RICHNESS)	Palpada vinetorum 	Allograpta cf. exotica	Polybia ignobilis	Brachygastra lecheguana	Polybia dimidiata	Pepsis sp. 
1	He1P0	he	he	2015	2466	2150000	106.60	5051.2	1.468372093	17.99	66.07	59.28	58.60	55.49	4	9	2.01	0	0	0	1	0	1	0	0	0	0	0	0.01	0	0	0	0	0	0	0
2	He2P0	he	he	2015	2530	3040000	106.60	7800	1.603618421	565.75	0.00	32.12	38.42	44.73	2	2	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
3	A1P1DF	aldf	aldf	2015	4451	2750000	88.50	3515.2	0.798909091	40.03	27.83	15.75	18.49	23.82	6	2	14.01	15	1	0.01	10	3	0	0	0	0	0	0	1	0	0	15	0	0	0	0
4	A3P1DF	aldf	aldf	2015	4019	4600000	88.50	8155.2	1.108043478	1045	0.00	0.56	5.27	14.54	3	0.01	0.01	14	1	0.01	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
5	A1P0GO	algo	algo	2015	2206	4720000	88.50	10473.6	1.386864407	74.07	12.64	21.75	21.24	23.88	4	2	11.01	2	0	0.01	10	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
6	A2P0GO	algo	algo	2015	1935	3990000	88.50	6553.6	1.026566416	570.48	1.84	5.47	15.02	19.74	3	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	A3P0GO	algo	algo	2015	1779	3480000	88.50	6998.4	1.256896552	965.39	2.38	1.96	11.07	19.19	2	0.01	1.01	0	0	0.01	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
8	J2P0	jo	jo	2015	3252	3980000	36.00	4355.2	0.683919598	375.96	8.12	17.54	28.00	39.18	3	2	0.01	5	1	0	0	0	0	0	0.01	0	0	0	0	0	0	5	0	0	0	0
9	J1P0	jo	jo	2015	4690	3690000	36.00	4665.6	0.790243902	57.81	15.06	15.15	22.54	28.51	6	0.01	8	14	0	1	1	4	0	0	0	0	0	0	0	2	0	13	0	1	0	0
10	W1P1NN	wa	wa	2015	1454	1750000	98.00	945.6	0.337714286	57.94	23.31	20.23	36.35	34.36	5	1	3.02	0.01	0	0	0	1	0	0.01	0	0.01	0	0	0	2	0	0.01	0	0	0	0
