produtor	campo.	ponto.a	ano	n_flor	nuvens	vento 	temp	umidade	horario	Apis	nat	bio.ctrol	Total	exot.fl	sem.apis.fl	total.fl	total_N	dist	vc0.5	vc1.0	vc1.5	vc2.0	pest	rich
He	He	He1P0	2015	1359	5	3.45135	28.1	85	1000	8	1.01	0	10	5.886681383	0.743193525	7.358351729	106.60	17.99	66.07	59.28	58.60	55.49	0	3
He	He	He1P0	2015	1107	70	2.6859	30.9	70.5	1335	1	1.01	0	2	0.903342367	0.91237579	1.806684734	106.60	17.99	66.07	59.28	58.60	55.49	0	3
He	He	He2P0	2015	1045	40	3.43245	30.1	88.5	1500	1	0	0.01	2	0.956937799	0	1.913875598	106.60	565.75	0.00	32.12	38.42	44.73	0	2
He	He	He2P0	2015	1485	75	0.357	30.9	79	1153	1	0	0	0	0.673400673	0	0	106.60	565.75	0.00	32.12	38.42	44.73	0	1
ADF	ADF	A1P1DF	2015	1818	5	1.1	31	59	1000	0	11.01	14	22	0	6.056105611	12.10121012	88.50	40.03	27.83	15.75	18.49	23.82	1	4
ADF	ADF	A1P1DF	2015	2633	3	0.8	35	36	1310	2	3	1	6	0.759589821	1.139384732	2.278769464	88.50	40.03	27.83	15.75	18.49	23.82	0	4
ADF	ADF	A3P1DF	2015	2022	5	0.8	34.4	40.5	1140	0	0.01	14	14	0	0.004945598	6.923837784	88.50	1045	0.00	0.56	5.27	14.54	0	2
ADF	ADF	A3P1DF	2015	1997	50	0.9	36.4	41	1430	0.01	0	0	0	0.005007511	0	0	88.50	1045	0.00	0.56	5.27	14.54	1	1
AGO	AGO	A1P0GO	2015	1178	30	2.5	25.2	74	1045	0	6.1	1	7	0	5.178268251	5.942275042	88.50	74.07	12.64	21.75	21.24	23.88	0	3
AGO	AGO	A1P0GO	2015	1028	90	2	30.6	58.5	1400	2	5	1	10	1.945525292	4.86381323	9.727626459	88.50	74.07	12.64	21.75	21.24	23.88	0	3
AGO	AGO	A2P0GO	2015	993	50	1.7	31.5	50	1215	1	2	1	4	1.007049345	2.014098691	4.028197382	88.50	570.48	1.84	5.47	15.02	19.74	0	3
AGO	AGO	A2P0GO	2015	942	70	5.5	29.8	41.8	1515	1	0	1	2	1.061571125	0	2.123142251	88.50	570.48	1.84	5.47	15.02	19.74	0	2
AGO	AGO	A3P0GO	2015	986	70	2.8	29.1	55.1	1310	0	0	0	1	0	0	1.014198783	88.50	965.39	2.38	1.96	11.07	19.19	0	0
AGO	AGO	A3P0GO	2015	793	90	1.3	30.8	50.2	1610	0.01	1.01	0	1	0.01261034	1.273644388	1.261034048	88.50	965.39	2.38	1.96	11.07	19.19	0	2
Jo	Jo	J2P0	2015	1591	10	0.7	25.5	70.5	919	1	0	1	5	0.628535512	0	3.142677561	36.00	375.96	8.12	17.54	28.00	39.18	1	2
Jo	Jo	J2P0	2015	1661	90	3.5	27.4	65	1220	1	0.01	4	6	0.60204696	0.00602047	3.612281758	36.00	375.96	8.12	17.54	28.00	39.18	0	3
Jo	Jo	J1P0	2015	2229	20	2.5	30.9	59.2	1038	0	6	9	14	0	2.69179004	6.280843428	36.00	57.81	15.06	15.15	22.54	28.51	0	5
Jo	Jo	J1P0	2015	2461	50	1.7	32.8	52.3	1340	0.01	2	5	7	0.004063389	0.812677773	2.844372206	36.00	57.81	15.06	15.15	22.54	28.51	0	2
Wa	Wa	W1P1NN	2015	673	100	0.8	22	73.7	908	0.01	3.01	0.01	4	0.014858841	4.472511144	5.943536404	98.00	57.94	23.31	20.23	36.35	34.36	0	5
Wa	Wa	W1P1NN	2015	781	80	2.5	31.8	46.9	1251	1	0.02	0	1	1.280409731	0.025608195	1.280409731	98.00	57.94	23.31	20.23	36.35	34.36	0	2
Wa	Wa	W1P0NN	2015	492	100	1.6	23.1	66	1015	1	1.01	0	3	2.032520325	2.052845528	6.097560976	98.00	65.46	33.24	27.84	38.54	34.03	1	3
Wa	Wa	W1P0NN	2015	395	55	3	33.5	38.1	1338	0	0.01	0	0	0	0.025316456	0	98.00	65.46	33.24	27.84	38.54	34.03	0	1
Wa	Wa	W2P1N	2015	261	95	1.7	28.1	55.6	1121	0	0	0	0	0	0	0	98.00	94.14	3.90	24.45	35.95	36.97	0	0
Wa	Wa	W2P1N	2015	178	50	2.7	33.2	41.3	1438	0.01	0	0	0	0.056179775	0	0	98.00	94.14	3.90	24.45	35.95	36.97	0	1
Wa	Wa	W2P0N	2015	195	90	3.5	27.4	53	1154	0	0	0	0	0	0	0	98.00	375.78	4.25	29.03	35.46	36.71	0	0
Wa	Wa	W2P0N	2015	131	10	2	34	32	1512	0.01	0	0	0	0.076335878	0	0	98.00	375.78	4.25	29.03	35.46	36.71	0	1
Wa	WaS	W1P0S	2015	448	100	1.2	24.8	69.9	937	0	1.03	2	4	0	2.299107143	8.928571429	98.00	64.41	52.88	53.96	47.97	44.50	0	4
Wa	WaS	W1P0S	2015	382	100	2.1	25.6	59.5	1404	0.01	0.01	3	4	0.02617801	0.02617801	10.47120419	98.00	64.41	52.88	53.96	47.97	44.50	1	3
Wa	Wa	W1P0NS	2015	146	100	1.6	29.1	53.5	1210	0.01	0.01	1	1	0.068493151	0.068493151	6.849315068	98.00	33.73	29.45	29.79	37.43	38.74	0	3
Wa	Wa	W1P0NS	2015	63	90	2.2	29	54.7	1525	1	0	0	1	15.87301587	0	15.87301587	98.00	33.73	29.45	29.79	37.43	38.74	0	1
Wa	Wa	W1P1NS	2015	167	100	2.2	27.1	63.2	1310	0.01	2	0	2	0.05988024	11.9760479	11.9760479	98.00	29.07	17.54	27.31	32.75	36.98	0	1
Wa	Wa	W1P1NS	2015	124	100	1.2	28.6	56.8	1610	0	0	0.01	0	0	0	0	98.00	29.07	17.54	27.31	32.75	36.98	0	2
Wa	WaS	W2P0S	2015	242	100	1.5	26.6	58.1	1105	0	0	0	0	0	0	0	98.00	320.94	30.17	47.05	43.26	43.09	0	0
Wa	WaS	W2P0S	2015	212	70	1.6	28.3	59.4	1440	0	0	0	0	0	0	0	98.00	320.94	30.17	47.05	43.26	43.09	0	0
